LIB1,android.support.constraint
ConstraintSet,clone(ConstraintLayout constraintLayout) Copy the layout parameters of a ConstraintLayout.
ConstraintSet,clone(Constraints constraints) Copy the layout parameters of a ConstraintLayout.
ConstraintSet,clone(ConstraintSet set) Copy the constraints from a layout.
ConstraintSet,"connect(int startID, int startSide, int endID, int endSide, int margin) Create a constraint between two widgets."
ConstraintSet,"connect(int startID, int startSide, int endID, int endSide) Create a constraint between two widgets."
ConstraintSet,"constrainCircle(int viewId, int id, int radius, float angle) Constrain the view on a circle constraint"
ConstraintSet,"constrainDefaultHeight(int viewId, int height) Sets how the height is calculated ether MATCH_CONSTRAINT_WRAP or MATCH_CONSTRAINT_SPREAD."
ConstraintSet,"constrainDefaultWidth(int viewId, int width) Sets how the width is calculated ether MATCH_CONSTRAINT_WRAP or MATCH_CONSTRAINT_SPREAD."
ConstraintSet,"constrainHeight(int viewId, int height) Sets the height of the view."
ConstraintSet,"constrainMaxHeight(int viewId, int height) Sets the maximum height of the view."
ConstraintSet,"constrainMaxWidth(int viewId, int width) Sets the maximum width of the view."
ConstraintSet,"constrainMinHeight(int viewId, int height) Sets the height of the view."
ConstraintSet,"constrainMinWidth(int viewId, int width) Sets the width of the view."
ConstraintSet,"constrainPercentHeight(int viewId, float percent) Sets the height of the view as a percentage of the parent."
ConstraintSet,"constrainPercentWidth(int viewId, float percent) Sets the width of the view as a percentage of the parent."
ConstraintSet,"constrainWidth(int viewId, int width) Sets the width of the view."
ConstraintSet,"create(int guidelineID, int orientation) Creates a ConstraintLayout virtual object."
ConstraintSet,"createBarrier(int id, int direction, int margin, int... referenced) Creates a ConstraintLayout Barrier object."
ConstraintSet,"createHorizontalChain(int leftId, int leftSide, int rightId, int rightSide, int[] chainIds, float[] weights, int style) Spaces a set of widgets horizontal between the view startID and endId."
ConstraintSet,"createHorizontalChainRtl(int startId, int startSide, int endId, int endSide, int[] chainIds, float[] weights, int style) Spaces a set of widgets horizontal between the view startID and endId."
ConstraintSet,"createVerticalChain(int topId, int topSide, int bottomId, int bottomSide, int[] chainIds, float[] weights, int style) Spaces a set of widgets vertically between the view topId and bottomId."
ConstraintSet,getApplyElevation(int viewId) return with the constraint set will apply elevation for the specified view.
ConstraintSet,getCustomAttributeSet()
ConstraintSet,getParameters(int mId)
ConstraintSet,isForceId() Enforce id are required for all ConstraintLayout children to use ConstraintSet.
ConstraintSet,"load(Context context, int resourceId) Load a constraint set from a constraintSet.xml file."
ConstraintSet,"load(Context context, XmlPullParser parser) Load a constraint set from a constraintSet.xml file"
ConstraintSet,"parseColorAttributes(ConstraintSet.Constraint set, String attributes)"
ConstraintSet,"parseFloatAttributes(ConstraintSet.Constraint set, String attributes)"
ConstraintSet,"parseIntAttributes(ConstraintSet.Constraint set, String attributes)"
ConstraintSet,"parseStringAttributes(ConstraintSet.Constraint set, String attributes)"
ConstraintSet,readFallback(ConstraintLayout constraintLayout) This will copy Constraints from the ConstraintLayout if it does not have parameters
ConstraintSet,readFallback(ConstraintSet set) This will copy Constraints from the ConstraintSet
ConstraintSet,removeAttribute(String attributeName)
ConstraintSet,removeFromHorizontalChain(int viewId) Removes a view from a horizontal chain.
ConstraintSet,removeFromVerticalChain(int viewId) Removes a view from a vertical chain.
ConstraintSet,"setAlpha(int viewId, float alpha) Adjust the alpha of a view."
ConstraintSet,"setApplyElevation(int viewId, boolean apply) set if elevation will be applied to the view."
ConstraintSet,"setBarrierType(int id, int type)"
ConstraintSet,"setColorValue(int viewId, String attributeName, int value)"
ConstraintSet,"setDimensionRatio(int viewId, String ratio) Constrains the views aspect ratio."
ConstraintSet,"setElevation(int viewId, float elevation) Adjust the elevation of a view."
ConstraintSet,"setFloatValue(int viewId, String attributeName, float value)"
ConstraintSet,setForceId(boolean forceId) Enforce id are required for all ConstraintLayout children to use ConstraintSet.
ConstraintSet,"setGoneMargin(int viewId, int anchor, int value) Sets the gone margin."
ConstraintSet,"setGuidelineBegin(int guidelineID, int margin) Set the guideline's distance form the top or left edge."
ConstraintSet,"setGuidelineEnd(int guidelineID, int margin) Set a guideline's distance to end."
ConstraintSet,"setGuidelinePercent(int guidelineID, float ratio) Set a Guideline's percent."
ConstraintSet,"setHorizontalBias(int viewId, float bias) Adjust the horizontal bias of the view (used with views constrained on left and right)."
ConstraintSet,"setHorizontalChainStyle(int viewId, int chainStyle) How the elements of the horizontal chain will be positioned."
ConstraintSet,"setHorizontalWeight(int viewId, float weight) The child's weight that we can use to distribute the available horizontal space in a chain, if the dimension behaviour is set to MATCH_CONSTRAINT"
ConstraintSet,"setIntValue(int viewId, String attributeName, int value)"
ConstraintSet,"setMargin(int viewId, int anchor, int value) Sets the margin."
ConstraintSet,"setRotation(int viewId, float rotation) Adjust the post-layout rotation about the Z axis of a view."
ConstraintSet,"setRotationX(int viewId, float rotationX) Adjust the post-layout rotation about the X axis of a view."
ConstraintSet,"setRotationY(int viewId, float rotationY) Adjust the post-layout rotation about the Y axis of a view."
ConstraintSet,"setScaleX(int viewId, float scaleX) Adjust the post-layout scale in X of a view."
ConstraintSet,"setScaleY(int viewId, float scaleY) Adjust the post-layout scale in Y of a view."
ConstraintSet,"setStringValue(int viewId, String attributeName, String value)"
ConstraintSet,"setTransformPivot(int viewId, float transformPivotX, float transformPivotY) Set X,Y location of the pivot point around which the view will rotate and scale."
ConstraintSet,"setTransformPivotX(int viewId, float transformPivotX) Set X location of the pivot point around which the view will rotate and scale."
ConstraintSet,"setTransformPivotY(int viewId, float transformPivotY) Set Y location of the pivot point around which the view will rotate and scale."
ConstraintSet,"setTranslation(int viewId, float translationX, float translationY) Adjust the post-layout translation of a view."
ConstraintSet,"setTranslationX(int viewId, float translationX) Adjust the post-layout X translation of a view."
ConstraintSet,"setTranslationY(int viewId, float translationY) Adjust the post-layout Y translation of a view."
ConstraintSet,"setTranslationZ(int viewId, float translationZ) Adjust the translation in Z of a view."
ConstraintSet,"setVerticalBias(int viewId, float bias) Adjust the vertical bias of the view (used with views constrained on left and right)."
ConstraintSet,"setVerticalChainStyle(int viewId, int chainStyle) How the elements of the vertical chain will be positioned."
ConstraintSet,"setVerticalWeight(int viewId, float weight) The child's weight that we can use to distribute the available vertical space in a chain, if the dimension behaviour is set to MATCH_CONSTRAINT"
ConstraintSet,"setVisibility(int viewId, int visibility) Adjust the visibility of a view."
Group,getReferencedIds() Helpers typically reference a collection of ids
Group,"loadParameters(ConstraintSet.Constraint constraint, HelperWidget child, ConstraintLayout.LayoutParams layoutParams, mapIdToWidget)"
Group,"resolveRtl(ConstraintWidget widget, boolean isRtl)"
Group,setReferencedIds(int[] ids) Helpers typically reference a collection of ids
Group,updatePostConstraints(ConstraintLayout constainer)
Group,"updatePreLayout(ConstraintWidgetContainer container, Helper helper, map)"
Group,getViews(ConstraintLayout layout)
Guideline,setGuidelineBegin(int margin) Set the guideline's distance from the top or left edge.
Guideline,setGuidelineEnd(int margin) Set a guideline's distance to end.
Guideline,setGuidelinePercent(float ratio) Set a Guideline's percent.
Placeholder,getContent() Returns the content view
Placeholder,getEmptyVisibility() Returns the behaviour of a placeholder when it contains no view.
Placeholder,setContentId(int id) Sets the content view id
Placeholder,setEmptyVisibility(int visibility) Sets the visibility of placeholder when not containing objects typically gone or invisible.
LIB2,com.android.databinding::library
URL,https://developer.android.com/reference/android/databinding
GENERAL DESCRIPTION,
class-name,class-descriptipon
BaseObservable,A convenience class that implements Observable interface and provides notifyPropertyChanged(int) and notifyChange() methods.
CallbackRegistry,A utility for storing and notifying callbacks.
CallbackRegistry.NotifierCallback,Class used to notify events from CallbackRegistry.
DataBindingUtil,Utility class to create ViewDataBinding from layouts.
ListChangeRegistry,Utility class for managing ObservableList callbacks.
MapChangeRegistry,Utility class for managing ObservableMap callbacks.
MergedDataBinderMapper,A data binding mapper that merges other mappers.
Observable.OnPropertyChangedCallback,The callback that is called by Observable when an observable property has changed.
ObservableArrayList,An ObservableList implementation using ArrayList as an implementation.
ObservableArrayMap,
ObservableBoolean,An observable class that holds a primitive boolean.
ObservableByte,An observable class that holds a primitive byte.
ObservableChar,An observable class that holds a primitive char.
ObservableDouble,An observable class that holds a primitive double.
ObservableField,An object wrapper to make it observable.
ObservableFloat,An observable class that holds a primitive float.
ObservableInt,An observable class that holds a primitive int.
ObservableList.OnListChangedCallback,The callback that is called by ObservableList when the list has changed.
ObservableLong,An observable class that holds a primitive long.
ObservableMap.OnMapChangedCallback,A callback receiving notifications when an ObservableMap changes.
ObservableParcelable,An observable class that holds a parcelable object.
ObservableShort,An observable class that holds a primitive short.
OnRebindCallback,Listener set on addOnRebindCallback(OnRebindCallback) that is called when bound values must be reevaluated in executePendingBindings().
PropertyChangeRegistry,Utility class for managing Observable callbacks.
ViewDataBinding,Base class for generated data binding classes.
ViewStubProxy,This class represents a ViewStub before and after inflation.
class-of-method,method-name-description
BaseObservable,addOnPropertyChangedCallback(Observable.OnPropertyChangedCallback callback) Adds a callback to listen for changes to the Observable.
BaseObservable,notifyChange() Notifies listeners that all properties of this instance have changed.
BaseObservable,notifyPropertyChanged(int fieldId) Notifies listeners that a specific property has changed.
BaseObservable,removeOnPropertyChangedCallback(Observable.OnPropertyChangedCallback callback) Removes a callback from those listening for changes.
CallBackRegistry,add(C callback) Add a callback to be notified.
CallBackRegistry,clear() Removes all callbacks from the list.
CallBackRegistry,clone()
CallBackRegistry,copyCallbacks() Makes a copy of the registered callbacks and returns it.
CallBackRegistry,copyCallbacks(List<C> callbacks) Modifies callbacks to contain all callbacks in the CallbackRegistry.
CallBackRegistry,isEmpty() Returns true if there are no registered callbacks or false otherwise.
CallBackRegistry,"notifyCallbacks(T sender, int arg, A arg2) Notify all callbacks."
CallBackRegistry,remove(C callback) Remove a callback.
CallbackRegistry.NotifierCallback,"Called by CallbackRegistry during notifyCallbacks(Object, int, Object)} to notify the callback."
DataBindingUtil,bind(View root) Returns the binding for the given layout root or creates a binding if one does not exist.
DataBindingUtil,"bind(View root, DataBindingComponent bindingComponent) Returns the binding for the given layout root or creates a binding if one does not exist."
DataBindingUtil,convertBrIdToString(int id) Converts the given BR id to its string representation which might be useful for logging purposes.
DataBindingUtil,findBinding(View view) Retrieves the binding responsible for the given View.
DataBindingUtil,getBinding(View view) Retrieves the binding responsible for the given View layout root.
DataBindingUtil,getDefaultComponent() Returns the default DataBindingComponent used in data binding.
DataBindingUtil,"inflate(LayoutInflater inflater, int layoutId, ViewGroup parent, boolean attachToParent, DataBindingComponent bindingComponent) Inflates a binding layout and returns the newly-created binding for that layout."
DataBindingUtil,"inflate(LayoutInflater inflater, int layoutId, ViewGroup parent, boolean attachToParent) Inflates a binding layout and returns the newly-created binding for that layout."
DataBindingUtil,"setContentView(Activity activity, int layoutId) Set the Activity's content view to the given layout and return the associated binding."
DataBindingUtil,"setContentView(Activity activity, int layoutId, DataBindingComponent bindingComponent) Set the Activity's content view to the given layout and return the associated binding."
DataBindingUtil,setDefaultComponent(DataBindingComponent bindingComponent) Set the default DataBindingComponent to use for data binding.
ListChangeRegistry,"notifyCallbacks(ObservableList sender, int notificationType, ListChangeRegistry.ListChanges listChanges) Notify all callbacks."
ListChangeRegistry,"notifyChanged(ObservableList list, int start, int count) Notify registered callbacks that some elements have changed."
ListChangeRegistry,notifyChanged(ObservableList list) Notify registered callbacks that there was an unknown or whole-list change.
ListChangeRegistry,"notifyInserted(ObservableList list, int start, int count) Notify registered callbacks that elements were inserted."
ListChangeRegistry,"notifyMoved(ObservableList list, int from, int to, int count) Notify registered callbacks that elements were moved."
ListChangeRegistry,"notifyRemoved(ObservableList list, int start, int count) Notify registered callbacks that elements were deleted."
MapChangeRegistry,"notifyChange(ObservableMap sender, Object key) Notifies registered callbacks that an element has been added, removed, or changed."
MergedDataBinderMapper,convertBrIdToString(int id)
MergedDataBinderMapper,"getDataBinder(DataBindingComponent bindingComponent, View[] view, int layoutId)"
MergedDataBinderMapper,"getDataBinder(DataBindingComponent bindingComponent, View view, int layoutId)"
MergedDataBinderMapper,getLayoutId(String tag)
MergedDataBinderMapper,addMapper(DataBinderMapper mapper)
MergedDataBinderMapper,addMapper(String featureMapper)
Observable.OnPropertyChangedCallback,"onPropertyChanged(Observable sender, int propertyId) Called by an Observable whenever an observable property changes.
"
ObservableArrayList,add(T object)
ObservableArrayList,"add(int index, T object)"
ObservableArrayList,addAll(Collection<? extends T> collection)
ObservableArrayList,"addAll(int index, Collection<? extends T> collection)"
ObservableArrayList,addOnListChangedCallback(OnListChangedCallback listener)
ObservableArrayList,clear()
ObservableArrayList,remove(int index)
ObservableArrayList,remove(Object object)
ObservableArrayList,removeOnListChangedCallback(OnListChangedCallback listener)
ObservableArrayList,"set(int index, T object)"
ObservableArrayMap,"addOnMapChangedCallback(OnMapChangedCallback<? extends ObservableMap<K, V>, K, V> listener) Adds a callback to listen for changes to the ObservableMap."
ObservableArrayMap,clear()
ObservableArrayMap,"put(K k, V v)"
ObservableArrayMap,removeAll(Collection<?> collection)
ObservableArrayMap,removeAt(int index)
ObservableArrayMap,"removeOnMapChangedCallback(OnMapChangedCallback<? extends ObservableMap<K, V>, K, V> listener) Removes a previously added callback."
ObservableArrayMap,retainAll(Collection<?> collection)
ObservableArrayMap,"setValueAt(int index, V value)"
ObservableBoolean,describeContents()
ObservableBoolean,get()
ObservableBoolean,set(boolean value) Set the stored value.
ObservableBoolean,"writeToParcel(Parcel dest, int flags)"
ObservableByte,ObservableByte(byte value) Creates an ObservableByte with the given initial value.
ObservableByte,ObservableByte() Creates an ObservableByte with the initial value of 0.
ObservableByte,ObservableByte(Observable... dependencies) Creates an ObservableByte that depends on dependencies.
ObservableByte,describeContents()
ObservableByte,get()
ObservableByte,set(byte value) Set the stored value.
ObservableByte,"writeToParcel(Parcel dest, int flags)"
ObservableChar,ObservableChar(char value) Creates an ObservableChar with the given initial value.
ObservableChar,ObservableChar() Creates an ObservableChar with the initial value of 0.
ObservableChar,ObservableChar(Observable... dependencies) Creates an ObservableChar that depends on dependencies.
ObservableChar,describeContents()
ObservableChar,get()
ObservableChar,set(char value) Set the stored value.
ObservableChar,"writeToParcel(Parcel dest, int flags)"
ObservableDouble,describeContents()
ObservableDouble,get()
ObservableDouble,set(double value) Set the stored value.
ObservableDouble,"writeToParcel(Parcel dest, int flags)"
ObservableField,get()
ObservableField,set(T value) Set the stored value.
ObservableFloat,describeContents()
ObservableFloat,get()
ObservableFloat,set(float value) Set the stored value.
ObservableFloat,"writeToParcel(Parcel dest, int flags)"
ObservableInt,describeContents()
ObservableInt,get()
ObservableInt,set(int value) Set the stored value.
ObservableInt,"writeToParcel(Parcel dest, int flags)"
ObservableList.OnListChangedCallback,"onChanged(T sender) Called whenever a change of unknown type has occurred, such as the entire list being set to new values."
ObservableList.OnListChangedCallback,"onItemRangeChanged(T sender, int positionStart, int itemCount) Called whenever one or more items in the list have changed."
ObservableList.OnListChangedCallback,"onItemRangeInserted(T sender, int positionStart, int itemCount) Called whenever items have been inserted into the list."
ObservableList.OnListChangedCallback,"onItemRangeMoved(T sender, int fromPosition, int toPosition, int itemCount) Called whenever items in the list have been moved."
ObservableList.OnListChangedCallback,"onItemRangeRemoved(T sender, int positionStart, int itemCount) Called whenever items in the list have been deleted."
ObservableLong,describeContents()
ObservableLong,get()
ObservableLong,set(long value) Set the stored value.
ObservableLong,"writeToParcel(Parcel dest, int flags)"
ObservableMap.OnMapChangedCallback,"onMapChanged(T sender, K key) Called whenever an ObservableMap changes, including values inserted, deleted, and changed."
ObservableParcelable,describeContents()
ObservableParcelable,"writeToParcel(Parcel dest, int flags)"
ObservableShort,describeContents()
ObservableShort,get()
ObservableShort,set(short value) Set the stored value.
ObservableShort,"writeToParcel(Parcel dest, int flags)"
OnRebindCallback,onBound(T binding) Called after values have been reevaluated in executePendingBindings().
OnRebindCallback,onCanceled(T binding) Called after all callbacks have completed onPreBind(ViewDataBinding) when one or more of the calls has returned false.
OnRebindCallback,onPreBind(T binding) Called when values in a ViewDataBinding should be reevaluated.
PropertyChangeRegistry,"notifyChange(Observable observable, int propertyId) Notifies registered callbacks that a specific property has changed."
ViewDataBinding,addOnRebindCallback(OnRebindCallback listener) Add a listener to be called when reevaluating dirty fields.
ViewDataBinding,"executePendingBindings() Evaluates the pending bindings, updating any Views that have expressions bound to modified variables."
ViewDataBinding,getRoot() Returns the outermost View in the layout file associated with the Binding.
ViewDataBinding,hasPendingBindings() Returns whether the UI needs to be refresh to represent the current data.
ViewDataBinding,invalidateAll() Invalidates all binding expressions and requests a new rebind to refresh UI.
ViewDataBinding,removeOnRebindCallback(OnRebindCallback listener) Removes a listener that was added in addOnRebindCallback(OnRebindCallback).
ViewDataBinding,setLifecycleOwner(LifecycleOwner lifecycleOwner) Sets the LifecycleOwner that should be used for observing changes of LiveData in this binding.
ViewDataBinding,"setVariable(int variableId, Object value) Set a value value in the Binding class."
ViewDataBinding,unbind() Removes binding listeners to expression variables.
ViewStubProxy,getBinding() Returns the data binding associated with the inflated layout once it has been inflated.
ViewStubProxy,getRoot() Returns the root View of the layout replacing the ViewStub once it has been inflated.
ViewStubProxy,getViewStub() Returns the ViewStub in the layout or null if the ViewStub has been inflated.
ViewStubProxy,isInflated() Returns true if the ViewStub has replaced itself with the inflated layout or false if not.
ViewStubProxy,setContainingBinding(ViewDataBinding containingBinding)
ViewStubProxy,setOnInflateListener(ViewStub.OnInflateListener listener) Sets the ViewStub.OnInflateListener to be called when the ViewStub inflates.
LIB3,com.android.databinding::adapters
URL,https://developer.android.com/reference/android/databinding/adapters/package-summary
